group_id,lat,lon,timestamp,road,status,id
1,39.803268,116.630735,2024-01-01 08:00:00.000000000,潞西路,畅通,0
2,39.803268,116.63030100271246,2024-01-01 08:00:04.096098404,潞西路,畅通,1
3,39.80326200004465,116.62977000173115,2024-01-01 08:00:09.077839707,潞西路,畅通,2
4,39.8032460000931,116.62578902691463,2024-01-01 08:00:46.717662885,潞西路,畅通,3
5,39.80323000003554,116.62391699417326,2024-01-01 08:01:04.430520851,潞西路,畅通,4
6,39.80322499992955,116.6225009942911,2024-01-01 08:01:17.825869688,潞西路,畅通,5
7,39.803203000102954,116.62135799573392,2024-01-01 08:01:28.564289830,潞西路,畅通,6
8,39.803192999947655,116.6167500248399,2024-01-01 08:02:12.182202572,潞西路,畅通,7
9,39.8031550001939,116.61274800485914,2024-01-01 08:02:50.154141837,潞西路,畅通,8
10,39.803149999821976,116.6110049845992,2024-01-01 08:03:06.649240818,潞西路,畅通,9
11,39.803143999939635,116.61047898482033,2024-01-01 08:03:11.520276758,潞西路,畅通,10
12,39.803128000053334,116.60729801448356,2024-01-01 08:03:41.632135301,潞西路,畅通,11
13,39.80310700005857,116.60494899917686,2024-01-01 08:04:03.773207759,潞西路,畅通,12
14,39.803100999907784,116.6041439878907,2024-01-01 08:04:11.301172394,潞西路,畅通,13
15,39.80310099991894,116.60362899315912,2024-01-01 08:04:16.172208334,潞西路,畅通,14
16,39.80308000012946,116.60060301656878,2024-01-01 08:04:44.734191805,潞西路,畅通,15
17,39.803064000011254,116.59905299505373,2024-01-01 08:04:59.347299627,潞西路,畅通,16
18,39.80305799992791,116.5977329963535,2024-01-01 08:05:11.857005565,潞西路,畅通,17
19,39.80305299996482,116.59719699261808,2024-01-01 08:05:16.949452230,潞西路,畅通,18
20,39.80302100019282,116.59564100497215,2024-01-01 08:05:31.673265414,潞西路,畅通,19
21,39.80303699970698,116.59456799820964,2024-01-01 08:05:41.747453382,潞西路,畅通,20
22,39.803021000132524,116.59356499878133,2024-01-01 08:05:51.268114539,潞西路,畅通,21
23,39.8030259998902,116.59287299715875,2024-01-01 08:05:57.799730914,潞西路,畅通,22
24,39.80302599999626,116.592239998464,2024-01-01 08:06:03.777820477,潞西路,畅通,23
25,39.803025999998574,116.59166099900078,2024-01-01 08:06:09.202383229,潞西路,畅通,24
26,39.80304799983139,116.59136099748703,2024-01-01 08:06:12.080722648,潞西路,畅通,25
27,39.80304200014949,116.59034100454024,2024-01-01 08:06:21.712089167,潞西路,畅通,26
28,39.80304799996543,116.58971899869395,2024-01-01 08:06:27.579473368,潞西路,畅通,27
29,39.803048000032625,116.58921499859966,2024-01-01 08:06:32.339803946,潞西路,畅通,28
30,39.80304800001246,116.58822200320063,2024-01-01 08:06:41.749759740,潞西路,畅通,29
31,39.803042000050596,116.58705300256707,2024-01-01 08:06:52.820295969,潞西路,畅通,30
32,39.80303200004988,116.58630699774922,2024-01-01 08:06:59.794733793,潞西路,畅通,31
33,39.8030259999885,116.5852340016382,2024-01-01 08:07:09.979627123,潞西路,畅通,32
34,39.803020999987965,116.58466599676804,2024-01-01 08:07:15.293484512,潞西路,畅通,33
35,39.803025999919015,116.5843059971765,2024-01-01 08:07:18.614645380,潞西路,畅通,34
